Question,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On,Answer,Which Sub Section?,Order
How are scholarship applications evaluated?,how-are-scholarship-applications-evaluated,64d23aabb4f89baf03c825a3,653ad421e882f528b31e54b1,66729626e7846b687eb32048,false,false,Wed Jun 19 2024 08:26:14 GMT+0000 (Coordinated Universal Time),Wed Jun 19 2024 08:26:14 GMT+0000 (Coordinated Universal Time),Wed Jun 19 2024 08:27:45 GMT+0000 (Coordinated Universal Time),"<p id="""">Applications are evaluated based on demonstrated interest in leadership and community service, personal motivations, and the potential impact of the scholarship on the applicant's future.</p>",Get a scholarship,11
How can I financially support AIESEC?,how-can-i-financially-support-aiesec,64d23aabb4f89baf03c825a3,653ad421e882f528b31e54b1,64d23dc72f06a8ab6145cca1,false,false,Tue Aug 08 2023 13:06:15 GMT+0000 (Coordinated Universal Time),Fri Aug 25 2023 20:47:07 GMT+0000 (Coordinated Universal Time),Fri Aug 25 2023 20:47:37 GMT+0000 (Coordinated Universal Time),"<p id="""">AIESEC accepts gifts, grants, IRA charitable rollovers, in-kind donations, and more. Monetary donations can be made online or via a check sent to 85 Broad St, 17th floor, New York, NY, 10004. If you have any questions about how to give or get involved, please email us at <a id="""" href=""mailto:donate@aiesecus.org"">donate@aiesecus.org</a> or call us at <a id="""" href=""tel:(212)-757-3774"">(212) 757-3774</a>, and we would be happy to help.</p>",General Donation Questions,7
How can I financially support AIESEC?,how-can-i-financially-support-aiesec-2,64d23aabb4f89baf03c825a3,653ad421e882f528b31e54b1,6672964815d6d28664f8ddc3,false,false,Wed Jun 19 2024 08:26:48 GMT+0000 (Coordinated Universal Time),Wed Jun 19 2024 08:26:48 GMT+0000 (Coordinated Universal Time),Wed Jun 19 2024 08:27:45 GMT+0000 (Coordinated Universal Time),"<p>AIESEC accepts gifts, grants, IRA charitable rollovers, in-kind donations, and more. Please donate through <a id="""" href=""https://www.aiesecus.org/donate"">this link</a>. Monetary donations can be made online or via a check sent to 85 Broad St, 17th floor, New York, NY, 10004. If you have any questions about how to give or get involved, please email us at donate@aiesecus.org or call us at (212) 757-3774, and we would be happy to help.</p>",Get a scholarship,12
How do I apply for the scholarship?,how-do-i-apply-for-the-scholarship,64d23aabb4f89baf03c825a3,653ad421e882f528b31e54b1,667295c448c4e33624d0626c,false,false,Wed Jun 19 2024 08:24:36 GMT+0000 (Coordinated Universal Time),Wed Jun 19 2024 08:24:36 GMT+0000 (Coordinated Universal Time),Wed Jun 19 2024 08:27:45 GMT+0000 (Coordinated Universal Time),"<p id="""">To apply, fill out the online application form, submit two letters of recommendation, and attend an interview if shortlisted. The application deadline is August 31, 2024 - 11:59 PM ET</p>",Get a scholarship,7
How do I confirm my payroll donation was sent?,how-do-i-confirm-my-payroll-donation-was-sent,64d23aabb4f89baf03c825a3,653ad421e882f528b31e54b1,691f4419b1a31aab87c60eca,false,false,Thu Nov 20 2025 16:38:49 GMT+0000 (Coordinated Universal Time),Thu Nov 20 2025 16:38:49 GMT+0000 (Coordinated Universal Time),Thu Nov 20 2025 16:47:06 GMT+0000 (Coordinated Universal Time),"<p id="""">Your employer or payroll system should send you a confirmation. You can also email us.</p>",Payroll Giving,5
How do I submit a matching gift?,how-do-i-submit-a-matching-gift,64d23aabb4f89baf03c825a3,653ad421e882f528b31e54b1,691f434a3234a14654cdf41a,false,false,Thu Nov 20 2025 16:35:22 GMT+0000 (Coordinated Universal Time),Thu Nov 20 2025 16:35:22 GMT+0000 (Coordinated Universal Time),Thu Nov 20 2025 16:47:06 GMT+0000 (Coordinated Universal Time),"<p id="""">Usually through your company’s giving portal. Follow the steps, search “AIESEC US,” and submit your request.</p>",Employer Giving,4
I can't make a monetary donation right now. Are there other ways I can support AIESEC?,i-cant-make-a-monetary-donation-right-now-are-there-other-ways-i-can-support-aiesec,64d23aabb4f89baf03c825a3,653ad421e882f528b31e54b1,64d23dc8c1bde2588f565ed9,false,false,Tue Aug 08 2023 13:06:16 GMT+0000 (Coordinated Universal Time),Tue Aug 08 2023 13:14:07 GMT+0000 (Coordinated Universal Time),Tue Aug 08 2023 13:22:14 GMT+0000 (Coordinated Universal Time),"<p>Absolutely! You can still support us by spreading the word about our mission to your friends, family and network. To stay up to date on all AIESEC happenings, join our mailing list.</p>",General Donation Questions,15
I don't want to give online. Where can I mail my donation check?,i-dont-want-to-give-online-where-can-i-mail-my-donation-check,64d23aabb4f89baf03c825a3,653ad421e882f528b31e54b1,64d23dc85a7f9a50c34df270,false,false,Tue Aug 08 2023 13:06:16 GMT+0000 (Coordinated Universal Time),Fri Aug 25 2023 20:47:11 GMT+0000 (Coordinated Universal Time),Fri Aug 25 2023 20:47:37 GMT+0000 (Coordinated Universal Time),"<p id="""">You can mail your gift to our office at 85 Broad St, 17th floor, New York, NY, 10004.</p>",General Donation Questions,13
I represent clients interested in supporting AIESEC. Who can I contact for more information?,i-represent-clients-interested-in-supporting-aiesec-who-can-i-contact-for-more-information,64d23aabb4f89baf03c825a3,653ad421e882f528b31e54b1,64d23dc8a8420f0d89c44c42,false,false,Tue Aug 08 2023 13:06:16 GMT+0000 (Coordinated Universal Time),Tue Aug 08 2023 13:17:25 GMT+0000 (Coordinated Universal Time),Tue Aug 08 2023 13:22:14 GMT+0000 (Coordinated Universal Time),"<p>We are happy to work with philanthropic advisors. Please contact <a href=""mailto:donate@aiesecus.org"">donate@aiesecus.org</a> or call <a href=""tel:(212)-757-3774"">(212) 757-3774</a> and we will be in touch to get started.</p>",Have another question?,19
Is AIESEC a nonprofit?,is-aiesec-a-nonprofit,64d23aabb4f89baf03c825a3,653ad421e882f528b31e54b1,64d23dc6438f248d60450a2d,false,false,Tue Aug 08 2023 13:06:14 GMT+0000 (Coordinated Universal Time),Tue Aug 08 2023 13:07:14 GMT+0000 (Coordinated Universal Time),Tue Aug 08 2023 13:22:14 GMT+0000 (Coordinated Universal Time),"<p>Yes, AIESEC US Inc. is a 501 (c)(3) tax-exempt nonprofit organization. Contributions to this organization are tax-deductible to the full extent of the IRS laws. We are able to accept donations to further our goals of providing leadership development experiences to students and young people through cross-cultural exchanges and leadership conferences, as well as general organizational support.</p>",About AIESEC,2
Is AIESEC affiliated with a political party?,is-aiesec-affiliated-with-a-political-party,64d23aabb4f89baf03c825a3,653ad421e882f528b31e54b1,64d23dc717de1d26ddd3b9e1,false,false,Tue Aug 08 2023 13:06:15 GMT+0000 (Coordinated Universal Time),Tue Aug 08 2023 13:07:39 GMT+0000 (Coordinated Universal Time),Tue Aug 08 2023 13:22:14 GMT+0000 (Coordinated Universal Time),<p>No. AIESEC is a nonpartisan organization.</p>,About AIESEC,3
Is my gift tax deductible?,is-my-gift-tax-deductible,64d23aabb4f89baf03c825a3,653ad421e882f528b31e54b1,64d23dc71292b157f00d47ea,false,false,Tue Aug 08 2023 13:06:15 GMT+0000 (Coordinated Universal Time),Tue Aug 08 2023 13:09:57 GMT+0000 (Coordinated Universal Time),Tue Aug 08 2023 13:22:14 GMT+0000 (Coordinated Universal Time),"<p>Yes, all donations are tax-deductible to the fullest extent of U.S. law.</p>",General Donation Questions,8
Is my online donation secure?,is-my-online-donation-secure,64d23aabb4f89baf03c825a3,653ad421e882f528b31e54b1,64d23dc7a8420f0d89c44c03,false,false,Tue Aug 08 2023 13:06:15 GMT+0000 (Coordinated Universal Time),Fri Aug 25 2023 16:26:17 GMT+0000 (Coordinated Universal Time),Fri Aug 25 2023 16:27:29 GMT+0000 (Coordinated Universal Time),"<p id="""">Yes. We partner with Donorbox to ensure all online donations are secure. <a id="""" href=""https://donorbox.org/"" target=""_blank"">Donorbox</a> is PCI-compliant and secured by SSL/TLS encryption. </p>",General Donation Questions,12
Is payroll tax-deductible?,is-payroll-tax-deductible,64d23aabb4f89baf03c825a3,653ad421e882f528b31e54b1,691f43d7388abcb7aa679c70,false,false,Thu Nov 20 2025 16:37:43 GMT+0000 (Coordinated Universal Time),Thu Nov 20 2025 16:37:52 GMT+0000 (Coordinated Universal Time),Thu Nov 20 2025 16:47:06 GMT+0000 (Coordinated Universal Time),"<p id="""">Yes, donations are tax-deductible within the U.S. IRS guidelines.</p>",Payroll Giving,2
My company is interested in sponsoring a young person to go on a Global Volunteer exchange. Who do I contact to find out more information?,my-company-is-interested-in-sponsoring-a-young-person-to-go-on-a-global-volunteer-exchange-who-do-i-contact-to-find-out-more-information,64d23aabb4f89baf03c825a3,653ad421e882f528b31e54b1,64d23dc84c55e275ecf572ad,false,false,Tue Aug 08 2023 13:06:16 GMT+0000 (Coordinated Universal Time),Tue Aug 08 2023 13:16:48 GMT+0000 (Coordinated Universal Time),Tue Aug 08 2023 13:22:14 GMT+0000 (Coordinated Universal Time),"<p id="""">AIESEC welcomes corporate sponsorships for young people to go on a six-week Global Volunteer exchange and make a positive impact abroad. For sponsorship requests, please email <a href=""mailto:donate@aiesecus.org"">donate@aiesecus.org</a> or call <a href=""tel:(212)-757-3774"">(212) 757-3774</a> and we will be in touch to get started.</p>",Corporate Partners,18
My company is interested in sponsoring an AIESEC event. Who do I contact to find out more information?,my-company-is-interested-in-sponsoring-an-aiesec-event-who-do-i-contact-to-find-out-more-information,64d23aabb4f89baf03c825a3,653ad421e882f528b31e54b1,64d23dc8fa52a4e786b4220e,false,false,Tue Aug 08 2023 13:06:16 GMT+0000 (Coordinated Universal Time),Tue Aug 08 2023 13:16:13 GMT+0000 (Coordinated Universal Time),Tue Aug 08 2023 13:22:14 GMT+0000 (Coordinated Universal Time),"<p id="""">AIESEC welcomes corporate sponsorships of our events which happen four times a year. For sponsorship requests, please email <a href=""mailto:donate@aiesecus.org"">donate@aiesecus.org</a> or call <a href=""tel:(212)-757-3774"">(212) 757-3774</a> and we will be in touch to get started.</p>",Corporate Partners,17
My company is interested in supporting AIESEC. Who do I contact to find out more information?,my-company-is-interested-in-supporting-aiesec-who-do-i-contact-to-find-out-more-information,64d23aabb4f89baf03c825a3,653ad421e882f528b31e54b1,64d23dc8c500ab6613b006d6,false,false,Tue Aug 08 2023 13:06:16 GMT+0000 (Coordinated Universal Time),Tue Aug 08 2023 13:14:48 GMT+0000 (Coordinated Universal Time),Tue Aug 08 2023 13:22:14 GMT+0000 (Coordinated Universal Time),"<p>AIESEC accepts grants, checks, in-kind, and employee-matching gifts from corporations that are aligned with our mission and values. Please call <a href=""tel:(212)-757-3774"">(212) 757-3774</a> or email <a href=""mailto:donate@aiesecus.org"">donate@aiesecus.org</a> with your company name and contact information, and we will reach out to get started.</p>",Corporate Partners,16
My foundation is interested in working with AIESEC. Who do I contact for more information?,my-foundation-is-interested-in-working-with-aiesec-who-do-i-contact-for-more-information,64d23aabb4f89baf03c825a3,653ad421e882f528b31e54b1,64d23dc8891d3bf083a15a07,false,false,Tue Aug 08 2023 13:06:16 GMT+0000 (Coordinated Universal Time),Tue Aug 08 2023 13:17:48 GMT+0000 (Coordinated Universal Time),Tue Aug 08 2023 13:22:14 GMT+0000 (Coordinated Universal Time),"<p>AIESEC always welcomes working with foundations in support of our mission. Please contact <a href=""mailto:donate@aiesecus.org"">donate@aiesecus.org</a> or call <a href=""tel:(212)-757-3774"">(212) 757-3774</a> and we will be in touch to get started.</p>",Have another question?,20
What are employer giving programs?,what-are-employer-giving-programs,64d23aabb4f89baf03c825a3,653ad421e882f528b31e54b1,691f42a6889fc27eec21f32b,false,false,Thu Nov 20 2025 16:32:38 GMT+0000 (Coordinated Universal Time),Thu Nov 20 2025 16:32:44 GMT+0000 (Coordinated Universal Time),Thu Nov 20 2025 16:47:06 GMT+0000 (Coordinated Universal Time),"<p>These are programs where companies support charities through matching gifts, workplace giving, or direct sponsorship.</p>",Employer Giving,1
What are matching gifts?,what-are-matching-gifts,64d23aabb4f89baf03c825a3,653ad421e882f528b31e54b1,691f42bf29aa87c205f720cf,false,false,Thu Nov 20 2025 16:33:03 GMT+0000 (Coordinated Universal Time),Thu Nov 20 2025 16:34:41 GMT+0000 (Coordinated Universal Time),Thu Nov 20 2025 16:47:06 GMT+0000 (Coordinated Universal Time),"<p id="""">Your employer matches the donation you made to AIESEC US, doubling or tripling your impact.</p>",Employer Giving,2
What does the scholarship cover?,what-does-the-scholarship-cover,64d23aabb4f89baf03c825a3,653ad421e882f528b31e54b1,6672957164cded2d72b9594f,false,false,Wed Jun 19 2024 08:23:13 GMT+0000 (Coordinated Universal Time),Wed Jun 19 2024 08:23:13 GMT+0000 (Coordinated Universal Time),Wed Jun 19 2024 08:27:45 GMT+0000 (Coordinated Universal Time),"<p>The scholarship covers full program tuition, round-trip airfare up to $700, accommodation, health insurance, and a stipend for the duration of the AIESEC Global Volunteer exchange (6 weeks).</p>",Get a scholarship,4
What if I made my donation already?,what-if-i-made-my-donation-already,64d23aabb4f89baf03c825a3,653ad421e882f528b31e54b1,691f438c7ebd97b2b4a148c5,false,false,Thu Nov 20 2025 16:36:28 GMT+0000 (Coordinated Universal Time),Thu Nov 20 2025 16:36:28 GMT+0000 (Coordinated Universal Time),Thu Nov 20 2025 16:47:06 GMT+0000 (Coordinated Universal Time),"<p id="""">Most companies allow you to submit a match within a deadline (often 90-180 days). Submit the request now.</p>",Employer Giving,7
What if I need help setting it up?,what-if-i-need-help-setting-it-up,64d23aabb4f89baf03c825a3,653ad421e882f528b31e54b1,691f442d02c1ccfe5d89e2dc,false,false,Thu Nov 20 2025 16:39:09 GMT+0000 (Coordinated Universal Time),Thu Nov 20 2025 16:39:09 GMT+0000 (Coordinated Universal Time),Thu Nov 20 2025 16:47:06 GMT+0000 (Coordinated Universal Time),"<p id="""">Contact your payroll or HR team first. For questions about AIESEC US, reach out using the info on this page.</p>",Payroll Giving,6
What if I still have questions?,what-if-i-still-have-questions,64d23aabb4f89baf03c825a3,653ad421e882f528b31e54b1,691f43a1c25457e7283ab2cc,false,false,Thu Nov 20 2025 16:36:49 GMT+0000 (Coordinated Universal Time),Thu Nov 20 2025 16:36:49 GMT+0000 (Coordinated Universal Time),Thu Nov 20 2025 16:47:06 GMT+0000 (Coordinated Universal Time),"<p id="""">Contact your HR or community giving team. For anything related to AIESEC US, email us using the info on this page.</p>",Employer Giving,8
What if my company doesn’t appear in the search?,what-if-my-company-doesnt-appear-in-the-search,64d23aabb4f89baf03c825a3,653ad421e882f528b31e54b1,691f43609be87993ac215986,false,false,Thu Nov 20 2025 16:35:44 GMT+0000 (Coordinated Universal Time),Thu Nov 20 2025 16:35:44 GMT+0000 (Coordinated Universal Time),Thu Nov 20 2025 16:47:06 GMT+0000 (Coordinated Universal Time),"<p id="""">Ask HR, some companies have giving programs not listed in external databases.</p>",Employer Giving,5
What is AIESEC?,what-is-aiesec,64d23aabb4f89baf03c825a3,653ad421e882f528b31e54b1,64d23dc66573928e528531a7,false,false,Tue Aug 08 2023 13:06:14 GMT+0000 (Coordinated Universal Time),Tue Aug 08 2023 13:07:00 GMT+0000 (Coordinated Universal Time),Tue Aug 08 2023 13:22:14 GMT+0000 (Coordinated Universal Time),"<p id="""">AIESEC, the largest youth-led organization in the world, is a global platform for young people to develop their leadership potential through practical experiences of many kinds, including internships, volunteering opportunities contributing to the UN Sustainable Development Goals, and more. Founded in 1948, AIESEC is a non-governmental and not-for-profit organization entirely run by youth for youth.</p><p id="""">We create value-driven young leaders enabling them to develop the values we believe leaders should live by.</p>",About AIESEC,1
What is a Global Volunteer Exchange?,what-is-a-global-volunteer-exchange,64d23aabb4f89baf03c825a3,653ad421e882f528b31e54b1,667288a11ede57ef101af280,false,false,Wed Jun 19 2024 07:28:33 GMT+0000 (Coordinated Universal Time),Wed Jun 19 2024 07:28:33 GMT+0000 (Coordinated Universal Time),Wed Jun 19 2024 08:27:45 GMT+0000 (Coordinated Universal Time),"<p id="""">The <a href=""/students/global-volunteer"">AIESEC Global Volunteer Program</a> provides opportunities for young people to volunteer abroad in various community development projects. Participants can engage in a wide range of activities, such as teaching, environmental conservation, healthcare support, and more, depending on the needs of the host community.</p><p id="""">The program aims to promote cross-cultural understanding, youth leadership, and personal development among participants while contributing to positive social impact in communities around the world.&nbsp;</p>",Get a scholarship,1
What is payroll giving?,what-is-payroll-giving,64d23aabb4f89baf03c825a3,653ad421e882f528b31e54b1,691f43c0ad3aa157f89a8d69,false,false,Thu Nov 20 2025 16:37:20 GMT+0000 (Coordinated Universal Time),Thu Nov 20 2025 16:37:30 GMT+0000 (Coordinated Universal Time),Thu Nov 20 2025 16:47:06 GMT+0000 (Coordinated Universal Time),"<p id="""">A system where your employer deducts a chosen amount from your paycheck and donates it directly to AIESEC US.</p>",Payroll Giving,1
What is the duration of the AIESEC Global Volunteer exchange?,what-is-the-duration-of-the-aiesec-global-volunteer-exchange,64d23aabb4f89baf03c825a3,653ad421e882f528b31e54b1,667288b52d29ffe5a7c69881,false,false,Wed Jun 19 2024 07:28:53 GMT+0000 (Coordinated Universal Time),Wed Jun 19 2024 07:28:53 GMT+0000 (Coordinated Universal Time),Wed Jun 19 2024 08:27:45 GMT+0000 (Coordinated Universal Time),<p>The duration of the exchange program is 6 weeks.</p>,Get a scholarship,2
What is workplace giving?,what-is-workplace-giving,64d23aabb4f89baf03c825a3,653ad421e882f528b31e54b1,691f433612c84f0d3c71afaf,false,false,Thu Nov 20 2025 16:35:02 GMT+0000 (Coordinated Universal Time),Thu Nov 20 2025 16:35:02 GMT+0000 (Coordinated Universal Time),Thu Nov 20 2025 16:47:06 GMT+0000 (Coordinated Universal Time),"<p id="""">A system where employees give through payroll or employer platforms like Benevity, YourCause, or CyberGrants.</p>",Employer Giving,3
When will I know if I have been selected for the scholarship?,when-will-i-know-if-i-have-been-selected-for-the-scholarship,64d23aabb4f89baf03c825a3,653ad421e882f528b31e54b1,667296103c2ad777c5ce6441,false,false,Wed Jun 19 2024 08:25:52 GMT+0000 (Coordinated Universal Time),Wed Jun 19 2024 08:25:52 GMT+0000 (Coordinated Universal Time),Wed Jun 19 2024 08:27:45 GMT+0000 (Coordinated Universal Time),"<p id="""">Applicants will be notified of their selection status within 4 to 6 weeks after the application deadline.</p>",Get a scholarship,10
Where can I find my donation receipt?,where-can-i-find-my-donation-receipt,64d23aabb4f89baf03c825a3,653ad421e882f528b31e54b1,64d23dc77cfe132d31d3a344,false,false,Tue Aug 08 2023 13:06:15 GMT+0000 (Coordinated Universal Time),Tue Aug 08 2023 13:10:42 GMT+0000 (Coordinated Universal Time),Tue Aug 08 2023 13:22:14 GMT+0000 (Coordinated Universal Time),"<p>If you make a gift using our online portal, your receipt will be sent to the email address you provide during checkout. If you did not make an online donation and need a donation receipt, we will send your receipt to the address provided or listed on your check. If you can’t find your receipt, we can resend it. Please contact <a href=""mailto:donate@aiesecus.org"">donate@aiesecus.org</a> or call us at <a href=""tel:(212)-757-3774"">(212) 757-3774</a>, and we would be happy to help.</p>",General Donation Questions,10
Who is eligible to apply for the scholarship?,who-is-eligible-to-apply-for-the-scholarship,64d23aabb4f89baf03c825a3,653ad421e882f528b31e54b1,667288cbb4b2ac9de7d58de8,false,false,Wed Jun 19 2024 07:29:15 GMT+0000 (Coordinated Universal Time),Wed Jun 19 2024 07:29:15 GMT+0000 (Coordinated Universal Time),Wed Jun 19 2024 08:27:45 GMT+0000 (Coordinated Universal Time),<p>The scholarship is open to US citizens or permanent residents who are 18 to 30 years old. Applicants should have a strong interest in leadership and community service. We trust you have the financial need.</p>,Get a scholarship,3
Who supports AIESEC?,who-supports-aiesec,64d23aabb4f89baf03c825a3,653ad421e882f528b31e54b1,64d23dc67efbef2334eb45f8,false,false,Tue Aug 08 2023 13:06:14 GMT+0000 (Coordinated Universal Time),Tue Aug 08 2023 13:07:25 GMT+0000 (Coordinated Universal Time),Tue Aug 08 2023 13:22:14 GMT+0000 (Coordinated Universal Time),<p>We’re supported by generous individual donors and companies.</p>,About AIESEC,4
Why should I donate to AIESEC? What do my donations support?,why-should-i-donate-to-aiesec-what-do-my-donations-support,64d23aabb4f89baf03c825a3,653ad421e882f528b31e54b1,64d23dc6c500ab6613b00605,false,false,Tue Aug 08 2023 13:06:14 GMT+0000 (Coordinated Universal Time),Fri Aug 25 2023 16:27:27 GMT+0000 (Coordinated Universal Time),Fri Aug 25 2023 16:27:29 GMT+0000 (Coordinated Universal Time),"<p id="""">AIESEC is an organization that aims to develop leadership skills in young people and create a positive impact in communities around the United States. By donating to AIESEC, you are supporting our mission and helping us create a better future for all.</p><p id="""">Here are some specific reasons why you should consider donating to AIESEC:</p><ol id=""""><li id=""""><strong>Developing future leaders</strong>: AIESEC offers leadership development programs that empower young people to become effective leaders who can make a positive difference in the world. Your donation will help us reach more young people and provide them with the tools and resources they need to succeed.</li><li id=""""><strong>Creating positive impact</strong>: AIESEC's programs focus on important global issues such as sustainability and cultural understanding. By donating to AIESEC, you are supporting initiatives that have a tangible impact on local communities and contribute to creating a better world.</li><li id=""""><strong>Supporting diversity and inclusion:</strong> AIESEC is committed to promoting diversity and inclusion in all its programs and activities. Your donation will help us reach more young people from different backgrounds and underrepresented groups to ensure that everyone has an equal opportunity to develop their leadership skills and make a difference.</li><li id=""""><strong>Investing in the future:</strong> By supporting AIESEC, you are investing in the future of young people and the world. Your donation will help us continue to grow and expand our programs, reach more communities, and create a positive impact for generations to come.</li></ol><p id="""">Overall, your donation to AIESEC will support our mission of developing young leaders who can create positive change in the world. We appreciate any support you can give and thank you for considering AIESEC as a worthy recipient of your donation.</p>",General Donation Questions,5
Will I be able to select the country or territory where I want to travel?,will-i-be-able-to-select-the-country-or-territory-where-i-want-to-travel,64d23aabb4f89baf03c825a3,653ad421e882f528b31e54b1,6672959aef06433d6e318d3b,false,false,Wed Jun 19 2024 08:23:54 GMT+0000 (Coordinated Universal Time),Wed Jun 19 2024 08:23:54 GMT+0000 (Coordinated Universal Time),Wed Jun 19 2024 08:27:45 GMT+0000 (Coordinated Universal Time),"<p id="""">In this edition of the Empower Tomorrow's Leaders scholarship, the awarded individuals will travel to Mexico to participate in their exchange.</p>",Get a scholarship,5
